Step,Training Loss Init Params,Validation Loss Init Params,Rouge1 Init Params,Rouge2 Init Params,Rougel Init Params,Training Loss Adjusted Params,Validation Loss Adjusted Params,Rouge1 Adjusted Params,Rouge2 Adjusted Params,Rougel Adjusted Params,Training Loss,Validation Loss,Rouge1,Rouge2,Rougel
500,0.8667,1.161797,57.063,51.7701,57.1129,0.8626,1.152484,52.9583,48.7004,52.9118,0.8407,1.115452,52.0922,47.3875,52.194
1000,0.8523,1.103447,57.9868,52.5347,58.0172,0.8469,1.096629,51.282,46.6282,51.3133,0.8317,1.075856,52.5916,48.7573,52.6406
1500,0.896,1.081809,74.9096,68.9406,74.8596,0.8948,1.077609,55.0821,50.4339,55.0725,0.8665,1.072088,53.8067,49.2771,53.8294
2000,0.875,1.103495,64.4323,59.0861,64.4745,0.8817,1.083837,54.9959,50.268,54.9836,0.8593,1.07927,55.7377,51.4784,55.7431
2500,0.5854,1.142377,64.9798,59.7701,65.004,0.6102,1.124918,55.2738,50.9057,55.2396,0.5985,1.111609,57.1815,52.4661,57.1348
3000,0.5503,1.187377,67.0944,61.4125,67.1242,0.5852,1.135888,55.6487,50.865,55.5744,0.5735,1.134341,56.4382,51.6486,56.3853
3500,0.5542,1.211889,73.3898,67.1768,73.3778,0.6265,1.137062,55.9362,51.3202,55.8544,0.609,1.133206,56.9732,52.3976,56.9267
4000,0.3865,1.266108,77.0488,71.2676,77.0642,,,,,,,,,,
4500,0.3203,1.316458,76.3133,70.1386,76.316,,,,,,,,,,
5000,0.4277,1.348567,73.8466,67.6277,73.8223,,,,,,,,,,
5500,0.3906,1.364944,76.0397,69.8021,76.0248,,,,,,,,,,
6000,0.3998,1.370894,75.8734,69.6322,75.865,,,,,,,,,,
